retweet_count,favorite_count,user_followers_count,date
2242,9233,807,2020-03-08
12187,32980,2398428,2020-03-03
3725,9994,1634336,2020-03-04
2226,6122,1461817,2020-03-10
2674,4591,669,2020-03-04
2918,4655,63,2020-03-08
5355,17641,456918,2020-03-10
6284,22064,22815,2020-03-09
3468,18515,73723,2020-03-04
2569,3139,6927,2020-03-09
2220,10525,412320,2020-03-09
2713,11305,1265424,2020-03-09
3127,5412,1176,2020-03-07
10125,56191,2792,2020-03-09
5204,16447,2398428,2020-03-10
2264,5888,58010,2020-03-11
2205,6484,236216,2020-03-08
2823,8858,724438,2020-03-10
1531,8160,2409087,2020-03-06
4834,13268,55178,2020-03-09
3192,16826,33783,2020-03-08
2386,5334,210593,2020-03-09
7215,55651,1131372,2020-03-10
2980,3422,567,2020-03-09
12739,46971,18338,2020-03-04
5249,12573,261894,2020-03-09
3214,9970,1634336,2020-03-03
6112,46486,23419,2020-03-08
2892,3896,420,2020-03-03
1735,19964,32815,2020-03-05
5407,21665,655197,2020-03-05
5437,6217,16501,2020-03-10
2513,9297,157666,2020-03-06
2366,26943,995626,2020-03-09
2995,28919,162945,2020-03-11
11020,9145,834,2020-03-03
4535,15196,1634336,2020-03-09
2696,10266,1265424,2020-03-10
2721,6330,1634336,2020-03-04
1421,8124,267717,2020-03-09
2245,5616,247906,2020-03-03
138,444,435961,2020-03-06
2611,6844,1634336,2020-03-04
10127,34592,18807444,2020-03-03
6753,14527,6556,2020-03-03
5628,20563,187098,2020-03-10
2744,8268,2409087,2020-03-09
3066,8591,4449,2020-03-09
3111,2628,138586,2020-03-10
1724,6025,695987,2020-03-06
2638,13239,523468,2020-03-11
3097,2748,1156,2020-03-09
2791,2935,182795,2020-03-10
2609,10728,425,2020-03-10
16767,68726,14913,2020-03-03
2658,5685,834982,2020-03-11
4357,21629,11102,2020-03-09
7981,32749,11463517,2020-03-04
3183,10606,495176,2020-03-03
3117,12035,1452688,2020-03-04
4565,14231,17945,2020-03-09
596,3877,651015,2020-05-25
49,425,583207,2020-04-21
210,617,27244,2020-04-24
