date,replies_count,retweets_count,likes_count
2020-04-15,1,36,226
2020-04-15,2,45,202
2020-04-15,50,360,1272
2020-04-15,149,232,741
2020-04-15,27,87,263
2020-04-15,10,61,73
2020-04-15,17,39,96
2020-04-14,33,90,163
2020-04-14,34,115,477
2020-04-14,14,51,478
2020-04-14,3,51,323
2020-04-14,2,39,219
2020-04-14,2,54,286
2020-04-14,31,165,823
2020-04-14,18,39,145
2020-04-13,30,185,320
2020-04-13,24,134,236
2020-04-13,31,120,463
2020-04-13,10,73,296
2020-04-13,2,62,219
2020-04-13,7,83,191
2020-04-13,2,21,86
2020-04-13,2,27,81
2020-04-13,28,131,272
2020-04-13,95,137,686
2020-04-13,72,581,3129
2020-04-12,45,143,276
2020-04-12,56,177,953
2020-04-12,68,437,879
2020-04-12,35,130,355
2020-04-12,90,616,996
2020-04-11,47,182,341
2020-04-11,47,129,606
2020-04-11,31,186,703
2020-04-11,8,105,367
2020-04-11,2,11,51
2020-04-11,17,65,134
2020-04-11,42,185,511
2020-04-10,36,101,209
2020-04-10,43,114,461
2020-04-10,15,55,270
2020-04-10,5,26,152
2020-04-10,10,74,192
2020-04-10,28,122,380
2020-04-10,33,145,724
2020-04-10,2,67,363
2020-04-10,4,47,373
2020-04-10,3,63,379
2020-04-10,64,335,1462
2020-04-10,62,166,451
2020-04-10,31,78,173
2020-04-10,62,359,1030
2020-04-09,29,79,156
2020-04-09,70,101,547
2020-04-09,8,115,502
2020-04-09,5,54,339
2020-04-09,3,46,326
2020-04-09,2,45,316
2020-04-09,25,282,1131
2020-04-09,10,60,262
2020-04-09,3,37,171
2020-04-09,6,23,136
2020-04-09,2,32,159
2020-04-09,1,27,138
2020-04-09,19,125,313
2020-04-09,43,309,515
2020-04-09,80,424,1353
2020-04-08,7,36,86
2020-04-08,12,52,124
2020-04-08,21,84,202
2020-04-08,46,139,578
