retweet_count,favorite_count,user_followers_count,date
7,5,19170,2020-03-19
15,0,1083476,2020-04-27
0,1,68966,2020-04-21
10,12,60058,2020-03-20
3,0,60058,2020-05-19
0,0,1,2020-04-14
16,17,60058,2020-04-02
118,0,378858,2020-03-20
96,118,91616,2020-04-10
5,8,9530,2020-04-30
13,23,68966,2020-05-08
21,27,3127760,2020-04-14
29,36,201223,2020-04-01
12,27,694204,2020-04-29
18,103,52475,2020-04-01
23,43,694204,2020-04-24
15,0,58,2020-04-05
6,17,293623,2020-03-17
0,2,94847,2020-05-08
21,226,378858,2020-05-01
40,159,2484148,2020-04-30
2,1,60058,2020-04-21
76,277,2484148,2020-05-03
29,19,91616,2020-05-15
0,6,31,2020-03-23
2,1,945,2020-04-17
22,38,3127760,2020-05-05
41,88,3127760,2020-03-20
73,131,834276,2020-05-25
2,0,21322,2020-04-10
46,0,2484148,2020-04-17
46,0,39508,2020-05-11
66,116,3127760,2020-05-16
149,291,694204,2020-04-14
1,3,60058,2020-05-11
0,1,60058,2020-04-25
13,28,2032861,2020-04-11
33,111,2484148,2020-04-30
6,6,60058,2020-03-12
0,0,66,2020-03-08
4,7,60058,2020-03-29
0,0,65,2020-04-30
7,0,18680,2020-04-20
36,39,52475,2020-03-31
19,13,19164,2020-05-14
2,2,60058,2020-04-14
840,0,153,2020-03-04
6,8,293623,2020-05-22
2,12,68966,2020-05-04
0,1,419,2020-05-19
378,0,25835,2020-04-03
0,0,150,2020-03-09
43,56,144497,2020-03-21
0,6,932,2020-04-05
0,4,68966,2020-05-12
650,905,834276,2020-03-23
2,7,77655,2020-04-27
11,4,25835,2020-05-07
1,3,60058,2020-05-24
125,219,834276,2020-03-31
89,0,218,2020-05-19
2,2,60058,2020-05-12
16,26,2032861,2020-05-19
12,0,68093,2020-04-30
91,0,25835,2020-04-09
5,14,13497,2020-04-01
6,3,60058,2020-04-15
77,58,378858,2020-04-01
223,0,2484148,2020-04-17
1875,0,31,2020-04-08
1,1,94847,2020-03-11
264,0,25835,2020-04-27
15,9,60058,2020-04-28
38,0,52475,2020-03-18
946,0,1200,2020-03-03
206,0,91616,2020-03-12
243,422,834276,2020-05-22
0,5,13497,2020-05-09
24,20,91616,2020-04-08
65,0,378858,2020-05-12
15,31,68966,2020-04-01
7,14,98350,2020-03-01
16,12,45459,2020-03-31
56,74,834276,2020-04-16
2,4,60058,2020-05-18
0,1,1339,2020-03-09
75,223,2484148,2020-04-10
12,18,378858,2020-05-15
9,11,19164,2020-05-08
139,241,3127760,2020-03-23
32,0,39508,2020-04-30
3,8,68966,2020-05-05
5,0,7470,2020-03-30
2880,0,20541,2020-03-18
0,0,86,2020-03-01
0,0,19164,2020-04-27
223,0,2484148,2020-03-25
1,3,60058,2020-05-19
8569,0,25835,2020-03-15
13,49,21322,2020-04-10
70,88,201223,2020-05-21
11,10,68966,2020-03-29
12,20,694204,2020-04-22
21,0,2032861,2020-04-24
630,0,52475,2020-04-16
47,82,834276,2020-05-14
92,167,91616,2020-04-19
5,5,60058,2020-04-13
78,0,91616,2020-03-20
123,0,7470,2020-05-05
7,0,3031,2020-03-16
10,36,144497,2020-05-02
10,7,45459,2020-04-02
0,0,313,2020-03-10
91,0,60058,2020-04-04
44,82,293623,2020-04-03
2,5,19164,2020-03-06
0,1,52475,2020-03-05
84,122,214551,2020-05-19
24,29,2032861,2020-03-31
14,0,378858,2020-05-04
81,212,2484148,2020-05-11
5,8,68966,2020-03-28
25,32,708488,2020-05-23
3,0,4470,2020-04-10
165,143,378858,2020-05-03
5,0,52475,2020-05-08
14,34,144497,2020-05-10
106,151,52475,2020-03-10
