id,conversation_id,p,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1390018255440465923,1390018255440465923,2021-05-05 14:59:12 Eastern Daylight Time,2021-05-05,14:59:12,-0400,19091173,scrowder,Steven Crowder,,"Promise? If so, other states need to follow.",en,[],[],[],56,145,1543,[],[],https://twitter.com/scrowder/status/1390018255440465923,False,https://twitter.com/GregAbbott_TX/status/1389990242384547846,0,,,,,,,,[],,,,
1389984619437592579,1389984619437592579,2021-05-05 12:45:32 Eastern Daylight Time,2021-05-05,12:45:32,-0400,19091173,scrowder,Steven Crowder,,"""The Facebook Oversight Board holding up the Trump suspension says a lot about the powers of companies like Facebook. I imagine the board doesn't have a lot of people who share our views. It's an echo chamber of Silicon Valley."" - @DonaldJTrumpJr  https://t.co/em2Z57ZVy0",en,"[{'screen_name': 'donaldjtrumpjr', 'name': 'donald trump jr.', 'id': '39344374'}]",[],[],395,514,2205,[],[],https://twitter.com/scrowder/status/1389984619437592579,False,,1,https://pbs.twimg.com/amplify_video_thumb/1389979944382517249/img/tjq_FXNPIBHrM_2c.jpg,,,,,,,[],,,,
1389951051978010627,1389951051978010627,2021-05-05 10:32:09 Eastern Daylight Time,2021-05-05,10:32:09,-0400,19091173,scrowder,Steven Crowder,,America has gone so far so fast. Banning a sitting U.S President? If that's not a line in the sand I don't know what is.,en,[],[],[],311,1389,13489,[],[],https://twitter.com/scrowder/status/1389951051978010627,False,,0,,,,,,,,[],,,,
1389938306570391552,1389938306570391552,2021-05-05 09:41:30 Eastern Daylight Time,2021-05-05,09:41:30,-0400,19091173,scrowder,Steven Crowder,,Facebook upholds Trump's suspension. I wonder if  @DonaldJTrumpJr has anything to say about that on today's show... #DeleteFacebook  https://t.co/7fUuNzfBDx,en,"[{'screen_name': 'donaldjtrumpjr', 'name': 'donald trump jr.', 'id': '39344374'}]",[],['https://pbs.twimg.com/tweet_video_thumb/E0oM6OMXoAMSg_H.jpg'],388,493,3398,['deletefacebook'],[],https://twitter.com/scrowder/status/1389938306570391552,False,,1,https://pbs.twimg.com/tweet_video_thumb/E0oM6OMXoAMSg_H.jpg,,,,,,,[],,,,
1389898807865978882,1389898807865978882,2021-05-05 07:04:33 Eastern Daylight Time,2021-05-05,07:04:33,-0400,19091173,scrowder,Steven Crowder,,So @DonaldJTrumpJr is on the show today. Gonna be a damn good show.,en,"[{'screen_name': 'donaldjtrumpjr', 'name': 'donald trump jr.', 'id': '39344374'}]",[],[],382,1258,16885,[],[],https://twitter.com/scrowder/status/1389898807865978882,False,,0,,,,,,,,[],,,,
1389633344791629832,1389633344791629832,2021-05-04 13:29:42 Eastern Daylight Time,2021-05-04,13:29:42,-0400,19091173,scrowder,Steven Crowder,,Hahahaha.  Good luck.,tl,[],[],[],131,222,3397,[],[],https://twitter.com/scrowder/status/1389633344791629832,False,https://twitter.com/kylegriffin1/status/1389573064006922245,0,,,,,,,,[],,,,
1389601497931976713,1389601497931976713,2021-05-04 11:23:09 Eastern Daylight Time,2021-05-04,11:23:09,-0400,19091173,scrowder,Steven Crowder,,The leftist dream of a world without cops? THIS is what it looks like.  https://t.co/9fZbv83xn7,en,[],[],[],204,535,2151,[],[],https://twitter.com/scrowder/status/1389601497931976713,False,,1,https://pbs.twimg.com/amplify_video_thumb/1389598432126459904/img/X_y1UkSk8Kjqzf2S.jpg,,,,,,,[],,,,
1389600334276743169,1389600334276743169,2021-05-04 11:18:31 Eastern Daylight Time,2021-05-04,11:18:31,-0400,19091173,scrowder,Steven Crowder,,"Equity, the way educators are teaching it, does NOT ensure equality! #CriticalRaceTheory",en,[],[],[],48,151,1300,['criticalracetheory'],[],https://twitter.com/scrowder/status/1389600334276743169,False,,0,,,,,,,,[],,,,
1389599608477609990,1389599608477609990,2021-05-04 11:15:38 Eastern Daylight Time,2021-05-04,11:15:38,-0400,19091173,scrowder,Steven Crowder,,"School boards don't believe you have the right to teach your kids about sex, morality, US History, or God. They believe THEY own your kid's education. #TeacherAppreciation",en,[],[],[],127,484,3559,['teacherappreciation'],[],https://twitter.com/scrowder/status/1389599608477609990,False,,0,,,,,,,,[],,,,
1389598654764257290,1389598654764257290,2021-05-04 11:11:51 Eastern Daylight Time,2021-05-04,11:11:51,-0400,19091173,scrowder,Steven Crowder,,Being white is NOT a crime. I walk that back zero. #CriticalRaceTheory,en,[],[],[],168,471,5807,['criticalracetheory'],[],https://twitter.com/scrowder/status/1389598654764257290,False,,0,,,,,,,,[],,,,
